NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
HD 69830 b,0,0.0781916007,8.6669998,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,RV,HD 69830,0.9216339588,3,5360,HD 69830,http://exoplanet.eu/star.php?st=HD+69830
HD 69830 d,0,0.6274258494,197,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,RV,HD 69830,0.9216339588,3,5360,HD 69830,http://exoplanet.eu/star.php?st=HD+69830
HD 70642 b,0,3.1807231903,2068,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Carter 2003,http://adsabs.harvard.edu/abs/2003ApJ...593L..43C,RV,HD 70642,1.0313903093,1,5705.5400390625,HD 70642,http://exoplanet.eu/star.php?st=HD+70642
HD 72659 b,0,4.7537479401,3658,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,RV,HD 72659,1.3428686857,1,5919.509765625,HD 72659,http://exoplanet.eu/star.php?st=HD+72659
HD 73267 b,0,2.1984922886,1260,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,RV,HD 73267,1.166415453,1,5317,HD 73267,http://exoplanet.eu/star.php?st=HD+73267
HD 73256 b,0,0.0371347815,2.5485799,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,RV,HD 73256,1.2185117006,1,5636,HD 73256,http://exoplanet.eu/star.php?st=HD+73256
HD 73526 c,0,1.0283082724,377.8,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,RV,HD 73526,1.4554173946,2,5583.740234375,HD 73526,http://exoplanet.eu/star.php?st=HD+73526
HD 73526 b,0,0.6465091705,188.3,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,RV,HD 73526,1.4554173946,2,5583.740234375,HD 73526,http://exoplanet.eu/star.php?st=HD+73526
HD 73534 b,0,3.068292141,1770,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,RV,HD 73534,2.2883763313,1,5041,HD 73534,http://exoplanet.eu/star.php?st=HD+73534
HAT-P-13 c,0,1.2257415056,446.27,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,Transit,HAT-P-13,1.5523018837,2,5638,HAT-P-13,http://exoplanet.eu/star.php?st=HAT-P-13
